"","fdd_var","From","To","cohort","Similarity","is_duplicate","master_id"
"1","heslpd"," sleep: frequency wake up feeling tired & worn out","Trouble falling or staying asleep, or sleeping too much in last 2W.frequency","ELSA",0.406,FALSE,"622"
"2","heslpf"," sleep: rating sleep quality overall","Overall Sleep Quality Rating","ELSA",0.953,FALSE,"10"
"3","mdqa4","...you got much less sleep than usual and found you didnt really miss it?","I didn't sleep as well as I usually sleep","GS:SFHS",0.555,FALSE,"406"
"4","c1sleeping","[c1 clinic interview q23c2g] personality: are you: do you have great difficulty in falling or staying asleep? ","Have Difficulty Getting to Sleep and Staying Asleep","CaPS",0.506,TRUE,"458"
"5","c1troublesleeping","[c1 clinic interview q23c4c] personality: are you: have trouble sleeping or falling asleep ","Trouble falling or staying asleep, or sleeping too much in last 2W","CaPS",0.579,TRUE,"356"
"6","c2lostmuchsleep","[c2 general health q2] have you recently lost much sleep over worry? ","Healthy Sleep","CaPS",0.382,TRUE,"639"
"7","c2homesleephours","[c2 home & work environment q21] how many months a year do you sleep with your bedroom window open? ","Environmental Sleep Disorder","CaPS",0.495,TRUE,"497"
"8","c2sleepdifficult","[c2 home & work environment q28] does traffic noise make it difficult for you to fall asleep? ","Environmental Sleep Disorder","CaPS",0.464,TRUE,"536"
"9","c2wakeupduenoise","[c2 home & work environment q29] does traffic noise wake you up? ","Environmental Sleep Disorder","CaPS",0.493,TRUE,"499"
"10","c2easilyawakened","[c2 psychosocial quest noise q2] i am easily awakened by noise ","Ringing or Other Noises Did Not Wake Me From Sleep","CaPS",0.417,TRUE,"590"
"11","c2angrywithnoisypeople","[c2 psychosocial quest noise q9] i get angry with people who make noise that keeps me awake or doing work ","Ringing or Other Noises Did Not Wake Me From Sleep","CaPS",0.406,TRUE,"617"
"12","c3abletoconcentrate","[c3 general health q1] have you recently been able to concentrate on whatever you’re doing? ","Have you ever been concerned about your childs breathing during sleep","CaPS",0.295,TRUE,"734"
"13","c3depressed","[c3 general health q22] have you recently been feeling unhappy and depressed? ","I have been so unhappy that I have had difficulty sleeping in the past 7D","CaPS",0.409,TRUE,"612"
"14","c3lostmuchsleep","[c3 general health q2] have you recently lost much sleep over worry? ","Healthy Sleep","CaPS",0.382,TRUE,"641"
"15","c3restlessdisturbednights","[c3 general health q3] have you recently been having restless disturbed nights? ","Distressed by Sleep that is Restless and Disturbed","CaPS",0.525,TRUE,"434"
"16","c3outdoors","[c3 general health q5] have you recently been getting out of the house as much as usual? ","Frequently Have Trouble Getting to Sleep","CaPS",0.336,TRUE,"673"
"17","c3tasksatisfaction","[c3 general health q8] have you recently been satisfied with the way you’ve carried out your task? ","I was satisfied with my sleep in past 7D","CaPS",0.469,TRUE,"526"
"18","c3wakeuptrafficnoise","[c3 lifestyle quest q11c] does traffic noise ever wake you up? ","mismatch of sleep-wake schedule with lifestyle needs","CaPS",0.351,TRUE,"665"
"19","c3kickduringsleep","[c3 sleep disturbance q10] do you kick or make other disruptive movements during sleep? ","Sleep disturbances","CaPS",0.561,TRUE,"398"
"20","c3gettosleepdifficuly","[c3 sleep disturbance q11a] difficulty in getting to sleep? ","Sleep disturbances","CaPS",0.654,TRUE,"296"
"21","c3backtosleepdifficulty","[c3 sleep disturbance q11b] wake up during the night and have a hard time getting back to sleep? ","In the past Y, have you awakened during the night and had a hard time getting back to sleep","CaPS",0.671,TRUE,"259"
"22","c3wakerepeatedly","[c3 sleep disturbance q11c] wake up repeatly during the night? ","Sleep disturbances","CaPS",0.564,TRUE,"392"
"23","c3notfeelrested","[c3 sleep disturbance q11d] not feel rested during the day, no matter how many hours of sleep you had? ","Sleep or rest pattern disturbance","CaPS",0.644,TRUE,"304"
"24","c3bothersometwitches","[c3 sleep disturbance q11e] restless legs or borthersome twiches? ","legs feel restless disturbing sleep","CaPS",0.553,TRUE,"408"
"25","c3sleepinessduringday","[c3 sleep disturbance q11f] feelings of excessive sleepiness during the day? ","Sleep disturbances","CaPS",0.593,TRUE,"349"
"26","c3nasalcongestion","[c3 sleep disturbance q11g] nasal congestion, obstruction, or discharge at night? ","Sleep disturbances","CaPS",0.491,TRUE,"501"
"27","c3dozemomentarily","[c3 sleep disturbance q11h] fall asleep or doze momentarily: watching tv, reading, in meetings etc? ","Sleep disturbances","CaPS",0.475,TRUE,"519"
"28","c3stimulantstostayawake","[c3 sleep disturbance q11i] need for coffee or other stimulants to stay awake during the day? ","Sleep disturbances","CaPS",0.482,TRUE,"509"
"29","c3timefallasleep","[c3 sleep disturbance q12] approximately how many minutes does it usually take you to fall asleep at night?","Sleep disturbances","CaPS",0.513,TRUE,"451"
"30","c3hrsworkdaysleep","[c3 sleep disturbance q13a] how many hours of sleep do you usually get in a workday night?","Sleep disturbances","CaPS",0.588,TRUE,"351"
"31","c3hrsweekendsleep","[c3 sleep disturbance q13b] how many hours of sleep do you usually get in a weekend or non-work night?","Sleep disturbances","CaPS",0.564,TRUE,"394"
"32","c3freqnapduringtheday","[c3 sleep disturbance q14] how often do you take a nap during the day or early evening? ","Sleep disturbances","CaPS",0.574,TRUE,"362"
"33","c3allergiescausingnasalcongestio","[c3 sleep disturbance q15] do you have any allergies like hay fever that cause congestion? ","Sleep disturbances","CaPS",0.486,TRUE,"506"
"34","c3sleeptablets","[c3 sleep disturbance q16] do you take sleeping tables? ","Sleep disturbances","CaPS",0.729,TRUE,"165"
"35","c3todaydoyoufeel","[c3 sleep disturbance q1] today, do you feel? ","Sleep disturbances","CaPS",0.769,TRUE,"110"
"36","c3snoring","[c3 sleep disturbance q2] have you ever been told you snore? ","Sleep disturbances","CaPS",0.67,TRUE,"261"
"37","c3freqsnoring","[c3 sleep disturbance q3] according to others, please estimate how often you snore? ","Sleep disturbances","CaPS",0.56,TRUE,"401"
"38","c3loudnesssnoring","[c3 sleep disturbance q4] how loud have others said your snoring is? ","Sleep disturbances","CaPS",0.595,TRUE,"347"
"39","c3yrssnoring","[c3 sleep disturbance q5] based on what others have told you, for about how many years do you think you have snored?","Sleep disturbances","CaPS",0.501,TRUE,"489"
"40","c3awarenesssnoring","[c3 sleep disturbance q6] how often(if ever) have you had the feeling or awareness that you have been snoring? ","Sleep disturbances","CaPS",0.472,TRUE,"522"
"41","c3gaspduringsleep","[c3 sleep disturbance q7] according to others how often do you gasp, choke or make snorting sounds during sleep? ","Sleep disturbances","CaPS",0.519,TRUE,"442"
"42","c3wakegasping","[c3 sleep disturbance q8] how often have you wakened suddenly with the feeling of gasping or choking? ","Sleep disturbances","CaPS",0.453,TRUE,"545"
"43","c3sleepbreathupnormally","[c3 sleep disturbance q9] how often do you seem to have momentary periods in your sleep when you breath abnormally? ","Sleep disturbances","CaPS",0.521,TRUE,"439"
"44","T0481 C3 General health and sleep disturbance quests","[c3 sleep disturbance] date of birth of the subject in format dd/mm/yyyy from card 9","Sleep disturbances","CaPS",0.506,FALSE,"460"
"45","T0481 C3 General health and sleep disturbance quests","[c3 sleep disturbance] original text version of date of birth of the subject in format ddmmyy from card 9","PROMIS short form - sleep disturbance - 8b - version 1.0","CaPS",0.5,FALSE,"492"
"46","T0481 C3 General health and sleep disturbance quests","[c3 sleep disturbance] the card number in this case 9","Sleep disturbances","CaPS",0.747,FALSE,"158"
"47","T0481 C3 General health and sleep disturbance quests","[c3 sleep disturbance] the file number as recorded on card 9","Sleep disturbances","CaPS",0.673,FALSE,"256"
"48","T0481 C3 General health and sleep disturbance quests","[c3 sleep disturbance] the unique number allocated to each subject in the study as recorded on card 9","Sleep disturbances","CaPS",0.525,FALSE,"436"
"49","c4lostmuchsleep","[c4 general health q2] have you recently lost much sleep over worry? ","Healthy Sleep","CaPS",0.382,TRUE,"643"
"50","T0552 C5 CA Investigations IQcode IR","[c5 ca personality] sleep pattern disturbance ","Sleep pattern disturbance","CaPS",0.859,FALSE,"65"
"51","c5lostmuchsleep","[c5 general health q2] have you recently lost much sleep over worry? ","Healthy Sleep","CaPS",0.382,TRUE,"645"
"52","c5q39loudnessofsnoring","[c5 self completion quest q39] how loud is your snoring? ","Trouble Sleeping, Cough or Snoring Loudly","CaPS",0.412,TRUE,"598"
