,fdd_var,fdd_desc,cohort
1,part_id,Participant number (see data dictionary),airwave
2,barcode,Five digit barcode number (see data dictionary),airwave
3,f_version,Questionnaire version,airwave
4,country_enrolled,"Country (England, Wales, Scotland) at enrolment",airwave
5,role,Current rank in the force,airwave
6,ethnicity,Ethnic origin,airwave
7,income_household,Total income (including self) household received in the last 12 months,airwave
8,F_003,Highest level of education completed to date,airwave
9,F_069,Feelings during the past 2 weeks - I feel very tired,airwave
10,F_070,Feelings during the past 2 weeks - I feel very active,airwave
11,F_072,Feelings during the past 2 weeks - Physically - I feel exhausted,airwave
12,F_076,Feelings during the past 2 weeks - When I am doing something - I can concentrate quite well,airwave
13,F_081,Feelings during the past 2 weeks - I have trouble concentrating,airwave
14,F_089,Amount of sleep usually enjoyed over a 24 hour period,airwave
15,F_157,Over past 2 weeks has been bothered by Feeling tired or having little energy,airwave
16,F_166,Anxiety in the past 2 weeks. Ability to sit at ease and feel relaxed,airwave
17,F_188,Following traumatic event has been bothered by difficulty falling or staying asleep,airwave
18,F_217,Number of cigarettes per day,airwave
19,F_220,Not a smoker now - however did smoke 5 or more cigarettes a day,airwave
20,F_225,Currently drinking alcohol,airwave
21,F_239,Vigorous physical activities. Minutes spent doing vigorous physical activities on one day in the past 7,airwave
22,F_241,Vigorous physical activities. Where pattern of activity varies from day to day. Minutes spent over the last 7 days,airwave
23,F_243,Number of days moderate physical activities during the last 7 days,airwave
24,F_245,Moderate physical activities. Minutes spent doing vigorous physical activities on one day in the past 7,airwave
25,F_247,Moderate physical activities. Where pattern of activity varies from day to day. Minutes spent over the last 7 days,airwave
26,F_296,Cups of tea per day,airwave
27,F_297,Cups of coffee per day,airwave
28,F_411,Diagnosed conditions - Cancer,airwave
29,F_412,Diagnosed conditions - Migraine,airwave
30,F_413,Diagnosed conditions - Diabetes,airwave
31,F_414,Diagnosed conditions - COPD,airwave
32,F_415,Diagnosed conditions - Asthma,airwave
33,F_416,Diagnosed conditions - allergy,airwave
34,F_417,Diagnosed conditions - Cataract,airwave
35,F_418,Diagnosed conditions - Glaucoma,airwave
36,F_419,Diagnosed conditions - Epilepsy,airwave
37,F_420,Diagnosed conditions - Arthritis,airwave
38,F_421,Diagnosed conditions - Parkinson's,airwave
39,F_422,Diagnosed conditions - High blood pressure,airwave
40,F_423,Diagnosed conditions - Stroke/TIA,airwave
41,F_424,Diagnosed conditions - Thyroid,airwave
42,F_425,Diagnosed conditions - Angina,airwave
43,F_426,Diagnosed conditions - Heart attack,airwave
44,F_427,Diagnosed conditions - Other heart conditions,airwave
45,F_428,Diagnosed conditions - Chronic fatigue/ME,airwave
46,F_429,Diagnosed conditions - Depression,airwave
47,F_430,Diagnosed conditions - Chronic liver disease,airwave
48,F_431,Diagnosed conditions - deafness/partial hearing loss,airwave
